"#","Qty","Reference","Manufacturer","Manufacturer Part Number","Value","Description","Vendor"
"1","28","R305,R306,R405,R406,R505,R506,R605,R606,R901,R902,R903,R1101,R1102,R1501,R1502,R1503,R1504,R1605,R1901,R1902,R2105,R2106,R2205,R2206,R2305,R2306,R2405,R2406","Panasonic","ERJ-3GEY0R00V ","0R","RES SMD 0 OHM JUMPER 1/10W 0603","digikey:P0.0GCT-ND"
"2","8","C1001,C1006,C1007,C1011,C1012,C1202,C1203,C1208","Murata","GRM1885C1H102JA01D ","1nF","CAP CER 1000PF 50V C0G/NP0 0603","digikey:490-1451-1-ND"
"3","32","C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C203,C211,C212,C213,C303,C403,C503,C603,C703,C711,C712,C713,C1801,C1802,C1803,C1804,C2103,C2203,C2303,C2403,C3103,C3203","TDK","C1608C0G1E103J080AA","10nF","CAP CER 10000PF 25V C0G 0603","digikey:445-2664-1-ND"
"4","1","R905","Samsung","RUW3216FR100CS ","0.1R","RES 0.1 OHM 1% 1W 1206","digikey:1276-6187-1-ND"
"5","37","C202,C204,C207,C208,C209,C702,C704,C707,C708,C709,C1008,C1009,C1010,C1014,C1015,C1016,C1017,C1018,C1201,C1205,C1207,C1210,C1212,C1301,C1304,C1305,C1701,C1702,C1703,C1704,C1705,C1706,C1707,C1708,C1709,C1710,C3004","Murata","GRM155R61A104KA01D","0.1UF","CAP CER 0.1UF 10V X5R 0402","digikey:490-1318-1-ND"
"6","15","C1013,C1101,C1302,C1303,C1601,C1602,C1901,C2701,C2801,C2901,C3003,C3006,C3007,C3102,C3202","Murata","GRM188R61E105KA12D","1UF","CAP CER 1UF 25V X5R 0603","digikey:490-3897-1-ND"
"7","2","C206,C706","Kyocera AVX","F381A225MMA","2.2UF","CAP TANT POLY 2.2UF 10V 0603","digikey:478-8725-1-ND"
"8","2","C2704,C2904","Murata","GRM1885C1H100JA01D ","10PF","CAP CER 10PF 50V C0G/NP0 0603","digikey:490-1403-1-ND"
"9","14","C201,C205,C701,C705,C1002,C1003,C1004,C1005,C1204,C1206,C1209,C1211,C3104,C3204","TDK","C1608X5R1A106M080AC","10UF","CAP CER 10UF 10V X5R 0603","digikey:445-6853-1-ND"
"10","5","C901,C2702,C2703,C2902,C2903","Murata","GRM31CR61E226KE15L ","22UF","CAP CER 22UF 25V X5R 1206","digikey:490-5527-1-ND"
"11","4","C902,C2803,C3001,C3005","Panasonic","EEF-CD1B220R ","22UF","CAP ALUM POLY 22UF 20% 12.5V SMD","digikey:PCE3168CT-ND"
"12","16","C301,C302,C401,C402,C501,C502,C601,C602,C2101,C2102,C2201,C2202,C2301,C2302,C2401,C2402","TDK","C1608C0G1E103J080AA","25PF","CAP CER 10nF 25V C0G 0603","digikey:445-2664-1-ND"
"13","8","C304,C404,C504,C604,C2104,C2204,C2304,C2404","Samsung","CL10C250JB8NNNC ","25PF","CAP CER 25PF 50V C0G/NP0 0603","digikey:1276-2244-1-ND"
"14","16","R301,R302,R401,R402,R501,R502,R601,R602,R2101,R2102,R2201,R2202,R2301,R2302,R2401,R2402","Susumu","RR0816Q-330-D","33R","RES SMD 33 OHM 0.5% 1/16W 0603","digikey:RR08Q33DCT-ND"
"15","2","C2501,C2601","KYOCERA AVX","KGM15ACG1H470FT","47PF","CAP CER 47PF 50V C0G/NP0 0603","digikey:478-KGM15ACG1H470FTCT-ND"
"16","7","C2705,C2802,C2905,C3002,C3008,C3101,C3201","Murata","GRM31CR61A476ME15L ","47UF","CAP CER 47UF 10V X5R 1206","digikey:490-5528-1-ND"
"17","8","R303,R403,R503,R603,R2103,R2203,R2303,R2403","Vishay Dale","TNPW060349R9BEEA","49.9R","RES 49.9 OHM 0.1% 0.21W 0603","digikey:541-2031-1-ND"
"18","2","R1201,R1202","YAGEO ","RC0603FR-0749R9L ","49.9R","RES 49.9 OHM 1% 1/10W 0603","digikey:311-49.9HRCT-ND"
"19","3","R202,R702,R1002","YAGEO ","RC0603FR-07100RL ","100R","RES 100 OHM 1% 1/10W 0603","digikey:311-100HRCT-ND"
"20","5","C802,C803,C804,C805,C806","Samsung","CL10C151JB8NNNC ","150PF","CAP CER 150PF 50V C0G/NP0 0603","digikey:1276-1280-1-ND"
"21","3","R806,R913,R914","YAGEO ","RC0603FR-07150RL ","150R","RES 150 OHM 1% 1/10W 0603","digikey:311-150HRCT-ND"
"22","21","R304,R404,R504,R604,R1003,R1004,R1005,R1006,R1007,R1008,R1009,R1010,R1505,R1506,R2104,R2204,R2304,R2404,R2501,R2601,R3003","Susumu ","RR0816P-201-D ","200R","RES SMD 200 OHM 0.5% 1/16W 0603","digikey:RR08P200DCT-ND"
"23","1","C801","Murata","GRM1555C1H221JA01D","220PF","CAP CER 220PF 50V C0G/NP0 0402","digikey:490-1293-1-ND"
"24","1","R1801","YAGEO ","RC0603FR-07221RL ","221R","RES 221 OHM 1% 1/10W 0603","digikey:311-221HRCT-ND"
"25","1","R1204","YAGEO ","RC0603FR-07287RL ","287R","RES 287 OHM 1% 1/10W 0603","digikey:311-287HRCT-ND"
"26","1","R1001","YAGEO ","RC0603FR-07475RL ","475R","RES 475 OHM 1% 1/10W 0603","digikey:311-475HRCT-ND"
"27","3","R904,R906,R1203","YAGEO ","RC0603FR-071KL ","1K","RES 1K OHM 1% 1/10W 0603","digikey:311-1.00KHRCT-ND"
"28","1","R3001","YAGEO ","RC0603FR-074K42L ","4.42K","RES 4.42K OHM 1% 1/10W 0603","digikey:311-4.42KHRCT-ND"
"29","23","R801,R802,R804,R907,R908,R911,R912,R1301,R1302,R1303,R1601,R1603,R1604,R1701,R1702,R1703,R1704,R1705,R1706,R1904,R1905,R2001,R2002","YAGEO ","RC0603FR-074K75L ","4.75K","RES 4.75K OHM 1% 1/10W 0603","digikey:311-4.75KHRCT-ND"
"30","13","R201,R701,R909,R910,R1205,R3302,R3303,R3402,R3403,R3502,R3503,R3602,R3603","Vishay","MCT0603MD1002DP500 ","10K","RES 10K OHM 0.5% 1/10W 0603","digikey:MCT0603-10K-MDCT-ND"
"31","6","R1903,R2701,R2702,R2901,R2902,R3002","YAGEO ","RC0603FR-0711K5L ","11.5K","RES 11.5K OHM 1% 1/10W 0603","digikey:311-11.5KHRCT-ND"
"32","6","R803,R807,R808,R809,R810,R811","YAGEO ","RC0603FR-0722KL ","22K","RES 22K OHM 1% 1/10W 0603","digikey:311-22.0KHRCT-ND"
"33","1","R2704","YAGEO ","RC0603FR-07191KL ","191K","RES 191K OHM 1% 1/10W 0603","digikey:311-191KHRCT-ND"
"34","1","R1602","YAGEO ","RC0603FR-07220KL ","220K","RES 220K OHM 1% 1/10W 0603","digikey:311-220KHRCT-ND"
"35","5","R2703,R2705,R2903,R2904,R2905","YAGEO ","RC0603FR-07422KL ","422K","RES 422K OHM 1% 1/10W 0603","digikey:311-422KHRCT-ND"
"36","2","L2701,L2901","Würth","74477710 ","74477710","FIXED IND 10UH 2A 49 MOHM SMD","digikey:732-1200-1-ND"
"37","8","FB1001,FB2701,FB2801,FB2901,FB3001,FB3002,FB3101,FB3201","Würth","742792040","742792040","FERRITE BEAD 600 OHM 0805 1LN","digikey:732-1620-1-ND"
"38","1","J1501","Amphenol","10029449-111RLF ","10029449-111RLF","CONN RCPT 1.4 HDMI 19POS SMD R/A","digikey:609-4614-1-ND"
